Test (Newton = 0, ADDR_W = 11, WORD_W = 14, II = 1): RMSRE = 0.0000997154, MAX_REL_ERROR = 0.0002623455, WORST_INPUT = 650940749612264547084038169427968.0000000000000000000000000
Test (Newton = 0, ADDR_W = 11, WORD_W = 12, II = 1): RMSRE = 0.0001139903, MAX_REL_ERROR = 0.0003066962, WORST_INPUT = 0.0000000000000000000000071
Test (Newton = 0, ADDR_W = 11, WORD_W = 10, II = 1): RMSRE = 0.0002344148, MAX_REL_ERROR = 0.0005983008, WORST_INPUT = 71517250043573698560.0000000000000000000000000
Test (Newton = 0, ADDR_W = 11, WORD_W = 8, II = 1): RMSRE = 0.0008511987, MAX_REL_ERROR = 0.0020145407, WORST_INPUT = 1016374.0000000000000000000000000
Test (Newton = 0, ADDR_W = 11, WORD_W = 6, II = 1): RMSRE = 0.0034020901, MAX_REL_ERROR = 0.0077801616, WORST_INPUT = 0.0000000000141051103089151
Test (Newton = 0, ADDR_W = 10, WORD_W = 16, II = 1): RMSRE = 0.0001991893, MAX_REL_ERROR = 0.0004858848, WORST_INPUT = 612726834979554352693248.0000000000000000000000000
Test (Newton = 0, ADDR_W = 10, WORD_W = 14, II = 1): RMSRE = 0.0002017272, MAX_REL_ERROR = 0.0005007105, WORST_INPUT = 0.0000000000000000000067895
Test (Newton = 0, ADDR_W = 10, WORD_W = 12, II = 1): RMSRE = 0.0002065577, MAX_REL_ERROR = 0.0005248164, WORST_INPUT = 0.0000000000000000069800139
Test (Newton = 0, ADDR_W = 10, WORD_W = 10, II = 1): RMSRE = 0.0002933542, MAX_REL_ERROR = 0.0007946003, WORST_INPUT = 2282581307424768.0000000000000000000000000
Test (Newton = 0, ADDR_W = 10, WORD_W = 8, II = 1): RMSRE = 0.0008661338, MAX_REL_ERROR = 0.0021227432, WORST_INPUT = 332316977891753964847800347117718863872.0000000000000000000000000
Test (Newton = 0, ADDR_W = 10, WORD_W = 6, II = 1): RMSRE = 0.0033723822, MAX_REL_ERROR = 0.0077980928, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_W = 9, WORD_W = 16, II = 1): RMSRE = 0.0003991725, MAX_REL_ERROR = 0.0009606866, WORST_INPUT = 0.0000000000000000000001071
Test (Newton = 0, ADDR_W = 9, WORD_W = 14, II = 1): RMSRE = 0.0003996969, MAX_REL_ERROR = 0.0009814318, WORST_INPUT = 10425299661441437131260225661173760.0000000000000000000000000
Test (Newton = 0, ADDR_W = 9, WORD_W = 12, II = 1): RMSRE = 0.0004032889, MAX_REL_ERROR = 0.0009994945, WORST_INPUT = 2105387.5000000000000000000000000
Test (Newton = 0, ADDR_W = 9, WORD_W = 10, II = 1): RMSRE = 0.0004486702, MAX_REL_ERROR = 0.0012475445, WORST_INPUT = 2697353122329091865188938817732608.0000000000000000000000000
Test (Newton = 0, ADDR_W = 9, WORD_W = 8, II = 1): RMSRE = 0.0009267533, MAX_REL_ERROR = 0.0023517508, WORST_INPUT = 0.0000000000000000000002039
Test (Newton = 0, ADDR_W = 9, WORD_W = 6, II = 1): RMSRE = 0.0034009606, MAX_REL_ERROR = 0.0080014243, WORST_INPUT = 0.0000000000000000000000497
Test (Newton = 0, ADDR_W = 8, WORD_W = 16, II = 1): RMSRE = 0.0007923881, MAX_REL_ERROR = 0.0019457885, WORST_INPUT = 0.0000000000000071054366750
Test (Newton = 0, ADDR_W = 8, WORD_W = 14, II = 1): RMSRE = 0.0007908521, MAX_REL_ERROR = 0.0019387699, WORST_INPUT = 4538653002956800.0000000000000000000000000
Test (Newton = 0, ADDR_W = 8, WORD_W = 12, II = 1): RMSRE = 0.0008032965, MAX_REL_ERROR = 0.0019566289, WORST_INPUT = 33027.8203125000000000000000000
Test (Newton = 0, ADDR_W = 8, WORD_W = 10, II = 1): RMSRE = 0.0008283560, MAX_REL_ERROR = 0.0021900327, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_W = 8, WORD_W = 8, II = 1): RMSRE = 0.0011505713, MAX_REL_ERROR = 0.0030860816, WORST_INPUT = 12380051965262320058903611545447563264.0000000000000000000000000
Test (Newton = 0, ADDR_W = 8, WORD_W = 6, II = 1): RMSRE = 0.0034642402, MAX_REL_ERROR = 0.0082930639, WORST_INPUT = 263430290091802624.0000000000000000000000000
Test (Newton = 0, ADDR_W = 7, WORD_W = 16, II = 1): RMSRE = 0.0016156001, MAX_REL_ERROR = 0.0038425213, WORST_INPUT = 292720987797979136.0000000000000000000000000
Test (Newton = 0, ADDR_W = 7, WORD_W = 14, II = 1): RMSRE = 0.0016081903, MAX_REL_ERROR = 0.0038081893, WORST_INPUT = 32.0048179626464843750000000
Test (Newton = 0, ADDR_W = 7, WORD_W = 12, II = 1): RMSRE = 0.0016041241, MAX_REL_ERROR = 0.0038862815, WORST_INPUT = 4.0623316764831542968750000
Test (Newton = 0, ADDR_W = 7, WORD_W = 10, II = 1): RMSRE = 0.0016010837, MAX_REL_ERROR = 0.0040474720, WORST_INPUT = 80459028448558379139912957952.0000000000000000000000000
Test (Newton = 0, ADDR_W = 7, WORD_W = 8, II = 1): RMSRE = 0.0017936578, MAX_REL_ERROR = 0.0049051971, WORST_INPUT = 0.0001297043490922078490257
Test (Newton = 0, ADDR_W = 7, WORD_W = 6, II = 1): RMSRE = 0.0036235341, MAX_REL_ERROR = 0.0090566490, WORST_INPUT = 0.0000000000000008326744153
Test (Newton = 0, ADDR_W = 6, WORD_W = 16, II = 1): RMSRE = 0.0032030304, MAX_REL_ERROR = 0.0077237564, WORST_INPUT = 4.0000696182250976562500000
Test (Newton = 0, ADDR_W = 6, WORD_W = 14, II = 1): RMSRE = 0.0031953461, MAX_REL_ERROR = 0.0076836288, WORST_INPUT = 0.0000000002328553183605919
Test (Newton = 0, ADDR_W = 6, WORD_W = 12, II = 1): RMSRE = 0.0031841501, MAX_REL_ERROR = 0.0077857549, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_W = 6, WORD_W = 10, II = 1): RMSRE = 0.0031889492, MAX_REL_ERROR = 0.0079187191, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_W = 6, WORD_W = 8, II = 1): RMSRE = 0.0033404519, MAX_REL_ERROR = 0.0085527301, WORST_INPUT = 1.0312292575836181640625000
Test (Newton = 0, ADDR_W = 6, WORD_W = 6, II = 1): RMSRE = 0.0046347644, MAX_REL_ERROR = 0.0119377210, WORST_INPUT = 150361341952.0000000000000000000000000
