# seed = 1781169358
magic_constant, RMSRE
1064567000, 5.8731544087e-02
1064568000, 5.8605486777e-02
1064569000, 5.8479584865e-02
1064570000, 5.8353825429e-02
1064571000, 5.8228217524e-02
1064572000, 5.8102729233e-02
1064573000, 5.7977375230e-02
1064574000, 5.7852161080e-02
1064575000, 5.7727086482e-02
1064576000, 5.7602139731e-02
1064577000, 5.7477340953e-02
1064578000, 5.7352674170e-02
1064579000, 5.7228159386e-02
1064580000, 5.7103806970e-02
1064581000, 5.6979624139e-02
1064582000, 5.6855595515e-02
1064583000, 5.6731703066e-02
1064584000, 5.6607969734e-02
1064585000, 5.6484391820e-02
1064586000, 5.6360962929e-02
1064587000, 5.6237666760e-02
1064588000, 5.6114518757e-02
1064589000, 5.5991514387e-02
1064590000, 5.5868631003e-02
1064591000, 5.5745920550e-02
1064592000, 5.5623373024e-02
1064593000, 5.5500988625e-02
1064594000, 5.5378788891e-02
1064595000, 5.5256776461e-02
1064596000, 5.5134912363e-02
1064597000, 5.5013225519e-02
1064598000, 5.4891698526e-02
1064599000, 5.4770358674e-02
1064600000, 5.4649211836e-02
1064601000, 5.4528261288e-02
1064602000, 5.4407492174e-02
1064603000, 5.4286913415e-02
1064604000, 5.4166521830e-02
1064605000, 5.4046320971e-02
1064606000, 5.3926307832e-02
1064607000, 5.3806467814e-02
1064608000, 5.3686812368e-02
1064609000, 5.3567361708e-02
1064610000, 5.3448119279e-02
1064611000, 5.3329064134e-02
1064612000, 5.3210202740e-02
1064613000, 5.3091526403e-02
1064614000, 5.2973049458e-02
1064615000, 5.2854732769e-02
1064616000, 5.2736582006e-02
1064617000, 5.2618634237e-02
1064618000, 5.2500907023e-02
1064619000, 5.2383376839e-02
1064620000, 5.2266012139e-02
1064621000, 5.2148822779e-02
1064622000, 5.2031831961e-02
1064623000, 5.1915033070e-02
1064624000, 5.1798431087e-02
1064625000, 5.1682061080e-02
1064626000, 5.1565924014e-02
1064627000, 5.1450021697e-02
1064628000, 5.1334325646e-02
1064629000, 5.1218835721e-02
1064630000, 5.1103535851e-02
1064631000, 5.0988457021e-02
1064632000, 5.0873555760e-02
1064633000, 5.0758884076e-02
1064634000, 5.0644436439e-02
1064635000, 5.0530208342e-02
1064636000, 5.0416195323e-02
1064637000, 5.0302388199e-02
1064638000, 5.0188808812e-02
1064639000, 5.0075440079e-02
1064640000, 4.9962323302e-02
1064641000, 4.9849447833e-02
1064642000, 4.9736834126e-02
1064643000, 4.9624460593e-02
1064644000, 4.9512343305e-02
1064645000, 4.9400467700e-02
1064646000, 4.9288825187e-02
1064647000, 4.9177440032e-02
1064648000, 4.9066315609e-02
1064649000, 4.8955431552e-02
1064650000, 4.8844788217e-02
1064651000, 4.8734402945e-02
1064652000, 4.8624295584e-02
1064653000, 4.8514471889e-02
1064654000, 4.8404924941e-02
1064655000, 4.8295614161e-02
1064656000, 4.8186579276e-02
1064657000, 4.8077835683e-02
1064658000, 4.7969366322e-02
1064659000, 4.7861184375e-02
1064660000, 4.7753247533e-02
1064661000, 4.7645545281e-02
1064662000, 4.7538097548e-02
1064663000, 4.7430922307e-02
1064664000, 4.7324033761e-02
1064665000, 4.7217403464e-02
1064666000, 4.7110950118e-02
1064667000, 4.7004775341e-02
1064668000, 4.6898881972e-02
1064669000, 4.6793265931e-02
1064670000, 4.6687969031e-02
1064671000, 4.6582993363e-02
1064672000, 4.6478295866e-02
1064673000, 4.6373881691e-02
1064674000, 4.6269779423e-02
1064675000, 4.6165968361e-02
1064676000, 4.6062461515e-02
1064677000, 4.5959266701e-02
1064678000, 4.5856409400e-02
1064679000, 4.5753880721e-02
1064680000, 4.5651679662e-02
1064681000, 4.5549786222e-02
1064682000, 4.5448190490e-02
1064683000, 4.5346922579e-02
1064684000, 4.5245994799e-02
1064685000, 4.5145406076e-02
1064686000, 4.5045165540e-02
1064687000, 4.4945263637e-02
1064688000, 4.4845688824e-02
1064689000, 4.4746460698e-02
1064690000, 4.4647599646e-02
1064691000, 4.4549108355e-02
1064692000, 4.4450971380e-02
1064693000, 4.4353177324e-02
1064694000, 4.4255712929e-02
1064695000, 4.4158607581e-02
1064696000, 4.4061855989e-02
1064697000, 4.3965477462e-02
1064698000, 4.3869450075e-02
1064699000, 4.3773813191e-02
1064700000, 4.3678532506e-02
1064701000, 4.3583631661e-02
1064702000, 4.3489100859e-02
1064703000, 4.3394934020e-02
1064704000, 4.3301136884e-02
1064705000, 4.3207695612e-02
1064706000, 4.3114635915e-02
1064707000, 4.3021933047e-02
1064708000, 4.2929571934e-02
1064709000, 4.2837568802e-02
1064710000, 4.2745986662e-02
1064711000, 4.2654816634e-02
1064712000, 4.2564010737e-02
1064713000, 4.2473625206e-02
1064714000, 4.2383599361e-02
1064715000, 4.2293937961e-02
1064716000, 4.2204715110e-02
1064717000, 4.2115933772e-02
1064718000, 4.2027597066e-02
1064719000, 4.1939671048e-02
1064720000, 4.1852158302e-02
1064721000, 4.1765060871e-02
1064722000, 4.1678403521e-02
1064723000, 4.1592189379e-02
1064724000, 4.1506428413e-02
1064725000, 4.1421132670e-02
1064726000, 4.1336299632e-02
1064727000, 4.1251917611e-02
1064728000, 4.1167997604e-02
1064729000, 4.1084542596e-02
1064730000, 4.1001567952e-02
1064731000, 4.0919076588e-02
1064732000, 4.0837049949e-02
1064733000, 4.0755484601e-02
1064734000, 4.0674367274e-02
1064735000, 4.0593665657e-02
1064736000, 4.0513429234e-02
1064737000, 4.0433647764e-02
1064738000, 4.0354372583e-02
1064739000, 4.0275566387e-02
1064740000, 4.0197240789e-02
1064741000, 4.0119381298e-02
1064742000, 4.0041990960e-02
1064743000, 3.9965100743e-02
1064744000, 3.9888670605e-02
1064745000, 3.9812743458e-02
1064746000, 3.9737308564e-02
1064747000, 3.9662374810e-02
1064748000, 3.9587905669e-02
1064749000, 3.9513958532e-02
1064750000, 3.9440532464e-02
1064751000, 3.9367625122e-02
1064752000, 3.9295248309e-02
1064753000, 3.9223402350e-02
1064754000, 3.9152066077e-02
1064755000, 3.9081251626e-02
1064756000, 3.9010981570e-02
1064757000, 3.8941265149e-02
1064758000, 3.8872117495e-02
1064759000, 3.8803515879e-02
1064760000, 3.8735435007e-02
1064761000, 3.8667910358e-02
1064762000, 3.8600954854e-02
1064763000, 3.8534558417e-02
1064764000, 3.8468737704e-02
1064765000, 3.8403469724e-02
1064766000, 3.8338740412e-02
1064767000, 3.8274600291e-02
1064768000, 3.8211035945e-02
1064769000, 3.8148075329e-02
1064770000, 3.8085722960e-02
1064771000, 3.8023969928e-02
1064772000, 3.7962804248e-02
1064773000, 3.7902209005e-02
1064774000, 3.7842188836e-02
1064775000, 3.7782775919e-02
1064776000, 3.7723961377e-02
1064777000, 3.7665769693e-02
1064778000, 3.7608208016e-02
1064779000, 3.7551255294e-02
1064780000, 3.7494879820e-02
1064781000, 3.7439134953e-02
1064782000, 3.7384017815e-02
1064783000, 3.7329499372e-02
1064784000, 3.7275565044e-02
1064785000, 3.7222262760e-02
1064786000, 3.7169584978e-02
1064787000, 3.7117504227e-02
1064788000, 3.7066066990e-02
1064789000, 3.7015282646e-02
1064790000, 3.6965168250e-02
1064791000, 3.6915696978e-02
1064792000, 3.6866843597e-02
1064793000, 3.6818606812e-02
1064794000, 3.6771005042e-02
1064795000, 3.6724032763e-02
1064796000, 3.6677710844e-02
1064797000, 3.6632067174e-02
1064798000, 3.6587100395e-02
1064799000, 3.6542780361e-02
1064800000, 3.6499104425e-02
1064801000, 3.6456118354e-02
1064802000, 3.6413818465e-02
1064803000, 3.6372162338e-02
1064804000, 3.6331202341e-02
1064805000, 3.6290949147e-02
1064806000, 3.6251377163e-02
1064807000, 3.6212483367e-02
1064808000, 3.6174303692e-02
1064809000, 3.6136779226e-02
1064810000, 3.6099941453e-02
1064811000, 3.6063792113e-02
1064812000, 3.6028359543e-02
1064813000, 3.5993638752e-02
1064814000, 3.5959629280e-02
1064815000, 3.5926347176e-02
1064816000, 3.5893758604e-02
1064817000, 3.5861885652e-02
1064818000, 3.5830714733e-02
1064819000, 3.5800278935e-02
1064820000, 3.5770582026e-02
1064821000, 3.5741618419e-02
1064822000, 3.5713406868e-02
1064823000, 3.5685931282e-02
1064824000, 3.5659141730e-02
1064825000, 3.5633095165e-02
1064826000, 3.5607790512e-02
1064827000, 3.5583239644e-02
1064828000, 3.5559431651e-02
1064829000, 3.5536350017e-02
1064830000, 3.5514018791e-02
1064831000, 3.5492449053e-02
1064832000, 3.5471593297e-02
1064833000, 3.5451497311e-02
1064834000, 3.5432175262e-02
1064835000, 3.5413623023e-02
1064836000, 3.5395823515e-02
1064837000, 3.5378757261e-02
1064838000, 3.5362468233e-02
1064839000, 3.5346941284e-02
1064840000, 3.5332154444e-02
1064841000, 3.5318119862e-02
1064842000, 3.5304861914e-02
1064843000, 3.5292354389e-02
1064844000, 3.5280556420e-02
1064845000, 3.5269496285e-02
1064846000, 3.5259213127e-02
1064847000, 3.5249688269e-02
1064848000, 3.5240889491e-02
1064849000, 3.5232869843e-02
1064850000, 3.5225583216e-02
1064851000, 3.5219087382e-02
1064852000, 3.5213366958e-02
1064853000, 3.5208378556e-02
1064854000, 3.5204169731e-02
1064855000, 3.5200757371e-02
1064856000, 3.5198138506e-02
1064857000, 3.5196289046e-02
1064858000, 3.5195188437e-02
1064859000, 3.5194842579e-02
1064860000, 3.5195273337e-02
1064861000, 3.5196486582e-02
1064862000, 3.5198451981e-02
1064863000, 3.5201208236e-02
1064864000, 3.5204763938e-02
1064865000, 3.5209083784e-02
1064866000, 3.5214148294e-02
1064867000, 3.5220006176e-02
1064868000, 3.5226654637e-02
1064869000, 3.5234066037e-02
1064870000, 3.5242242418e-02
1064871000, 3.5251178444e-02
1064872000, 3.5260895583e-02
1064873000, 3.5271377452e-02
1064874000, 3.5282625298e-02
1064875000, 3.5294659817e-02
1064876000, 3.5307491122e-02
1064877000, 3.5321097452e-02
1064878000, 3.5335497289e-02
1064879000, 3.5350670547e-02
1064880000, 3.5366599128e-02
1064881000, 3.5383223244e-02
1064882000, 3.5400576564e-02
1064883000, 3.5418690641e-02
1064884000, 3.5437597000e-02
1064885000, 3.5457278762e-02
1064886000, 3.5477712759e-02
1064887000, 3.5498887772e-02
1064888000, 3.5520834610e-02
1064889000, 3.5543547548e-02
1064890000, 3.5567009272e-02
1064891000, 3.5591199545e-02
1064892000, 3.5616136244e-02
1064893000, 3.5641841645e-02
1064894000, 3.5668302282e-02
