method,params,rmsre,lut,dsp
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=3;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=15,5.183567e-05,754,5
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=3;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=15,5.297599e-05,748,5
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=3;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=15,6.064137e-05,846,4
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,9.489448e-05,727,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,9.490725e-05,716,5
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,9.491012e-05,714,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=10,9.493495e-05,709,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=8,9.496794e-05,702,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=12,9.550525e-05,699,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=10,9.550866e-05,695,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=8,9.561853e-05,691,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=15;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=6,9.850250e-05,689,5
