num_newton_steps, optimal_magic_constant, optimal_RMSRE
1, 1596276736, 0.010741
1, 1596280832, 0.010670
1, 1596284928, 0.010599
1, 1596289024, 0.010529
1, 1596293120, 0.010458
1, 1596297216, 0.010388
1, 1596301312, 0.010318
1, 1596305408, 0.010249
1, 1596309504, 0.010180
1, 1596313600, 0.010111
1, 1596317696, 0.010042
1, 1596321792, 0.009974
1, 1596325888, 0.009905
1, 1596329984, 0.009838
1, 1596334080, 0.009770
1, 1596338176, 0.009703
1, 1596342272, 0.009636
1, 1596346368, 0.009569
1, 1596350464, 0.009502
1, 1596354560, 0.009436
1, 1596358656, 0.009369
1, 1596362752, 0.009304
1, 1596366848, 0.009238
1, 1596370944, 0.009173
1, 1596375040, 0.009107
1, 1596379136, 0.009043
1, 1596383232, 0.008978
1, 1596387328, 0.008913
1, 1596391424, 0.008849
1, 1596395520, 0.008785
1, 1596399616, 0.008722
1, 1596403712, 0.008658
1, 1596407808, 0.008595
1, 1596411904, 0.008532
1, 1596416000, 0.008470
1, 1596420096, 0.008407
1, 1596424192, 0.008345
1, 1596428288, 0.008283
1, 1596432384, 0.008222
1, 1596436480, 0.008161
1, 1596440576, 0.008100
1, 1596444672, 0.008039
1, 1596448768, 0.007979
1, 1596452864, 0.007919
1, 1596456960, 0.007859
1, 1596461056, 0.007800
1, 1596465152, 0.007740
1, 1596469248, 0.007682
1, 1596473344, 0.007623
1, 1596477440, 0.007564
1, 1596481536, 0.007506
1, 1596485632, 0.007448
1, 1596489728, 0.007391
1, 1596493824, 0.007333
1, 1596497920, 0.007276
1, 1596502016, 0.007220
1, 1596506112, 0.007163
1, 1596510208, 0.007107
1, 1596514304, 0.007051
1, 1596518400, 0.006995
1, 1596522496, 0.006940
1, 1596526592, 0.006884
1, 1596530688, 0.006829
1, 1596534784, 0.006775
1, 1596538880, 0.006721
1, 1596542976, 0.006666
1, 1596547072, 0.006613
1, 1596551168, 0.006559
1, 1596555264, 0.006506
1, 1596559360, 0.006453
1, 1596563456, 0.006400
1, 1596567552, 0.006348
1, 1596571648, 0.006296
1, 1596575744, 0.006244
1, 1596579840, 0.006193
1, 1596583936, 0.006141
1, 1596588032, 0.006090
1, 1596592128, 0.006040
1, 1596596224, 0.005989
1, 1596600320, 0.005939
1, 1596604416, 0.005889
1, 1596608512, 0.005839
1, 1596612608, 0.005790
1, 1596616704, 0.005741
1, 1596620800, 0.005692
1, 1596624896, 0.005644
1, 1596628992, 0.005595
1, 1596633088, 0.005547
1, 1596637184, 0.005500
1, 1596641280, 0.005452
1, 1596645376, 0.005405
1, 1596649472, 0.005358
1, 1596653568, 0.005312
1, 1596657664, 0.005266
1, 1596661760, 0.005220
1, 1596665856, 0.005174
1, 1596669952, 0.005129
1, 1596674048, 0.005083
1, 1596678144, 0.005039
1, 1596682240, 0.004994
1, 1596686336, 0.004950
1, 1596690432, 0.004906
1, 1596694528, 0.004862
1, 1596698624, 0.004819
1, 1596702720, 0.004775
1, 1596706816, 0.004732
1, 1596710912, 0.004690
1, 1596715008, 0.004647
1, 1596719104, 0.004605
1, 1596723200, 0.004564
1, 1596727296, 0.004522
1, 1596731392, 0.004481
1, 1596735488, 0.004440
1, 1596739584, 0.004399
1, 1596743680, 0.004359
1, 1596747776, 0.004319
1, 1596751872, 0.004279
1, 1596755968, 0.004239
1, 1596760064, 0.004200
1, 1596764160, 0.004161
1, 1596768256, 0.004122
1, 1596772352, 0.004083
1, 1596776448, 0.004045
1, 1596780544, 0.004007
1, 1596784640, 0.003970
1, 1596788736, 0.003932
1, 1596792832, 0.003895
1, 1596796928, 0.003858
1, 1596801024, 0.003821
1, 1596805120, 0.003785
1, 1596809216, 0.003749
1, 1596813312, 0.003713
1, 1596817408, 0.003677
1, 1596821504, 0.003642
1, 1596825600, 0.003607
1, 1596829696, 0.003572
1, 1596833792, 0.003537
1, 1596837888, 0.003503
1, 1596841984, 0.003469
1, 1596846080, 0.003435
1, 1596850176, 0.003401
1, 1596854272, 0.003368
1, 1596858368, 0.003335
1, 1596862464, 0.003302
1, 1596866560, 0.003270
1, 1596870656, 0.003237
1, 1596874752, 0.003205
1, 1596878848, 0.003173
1, 1596882944, 0.003142
1, 1596887040, 0.003110
1, 1596891136, 0.003079
1, 1596895232, 0.003048
1, 1596899328, 0.003017
