Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 10, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000007357, MAX_REL_ERROR = 0.0000110086, WORST_INPUT = -321.7935485839843750000000000 (elements = 32640)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 12, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000005558, MAX_REL_ERROR = 0.0000133865, WORST_INPUT = 927.6018066406250000000000000 (elements = 32650)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 14, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000004373, MAX_REL_ERROR = 0.0000121065, WORST_INPUT = -312.7271728515625000000000000 (elements = 32648)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 16, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000005441, MAX_REL_ERROR = 0.0000107515, WORST_INPUT = 396.7174987792968750000000000 (elements = 32503)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 6, ADDR_WIDTH = 10], N = 64, SIMD = 2):  RMSRE = 0.0000238340, MAX_REL_ERROR = 0.0000848696, WORST_INPUT = -0.0023651418741792440414429 (elements = 32507)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 8, ADDR_WIDTH = 10], N = 64, SIMD = 2):  RMSRE = 0.0000017507, MAX_REL_ERROR = 0.0000179951, WORST_INPUT = -582.2153320312500000000000000 (elements = 32655)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 10, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000005370, MAX_REL_ERROR = 0.0000121686, WORST_INPUT = -32.9374961853027343750000000 (elements = 32549)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 12, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000004648, MAX_REL_ERROR = 0.0000119072, WORST_INPUT = 905.1564331054687500000000000 (elements = 32561)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 14, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000003542, MAX_REL_ERROR = 0.0000121772, WORST_INPUT = 1633.2210693359375000000000000 (elements = 32645)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 16, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000005643, MAX_REL_ERROR = 0.0000176669, WORST_INPUT = 96.5675888061523437500000000 (elements = 32590)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 6, ADDR_WIDTH = 11], N = 64, SIMD = 2):  RMSRE = 0.0000238974, MAX_REL_ERROR = 0.0000854859, WORST_INPUT = -182.4579315185546875000000000 (elements = 32705)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 8, ADDR_WIDTH = 11], N = 64, SIMD = 2):  RMSRE = 0.0000015843, MAX_REL_ERROR = 0.0000105935, WORST_INPUT = -0.9009214043617248535156250 (elements = 32631)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 10, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0000003862, MAX_REL_ERROR = 0.0000202304, WORST_INPUT = 517.6865844726562500000000000 (elements = 32698)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 12, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0000004346, MAX_REL_ERROR = 0.0000285978, WORST_INPUT = 1345.1391601562500000000000000 (elements = 32601)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 14, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0000005198, MAX_REL_ERROR = 0.0000503767, WORST_INPUT = -2767.7883300781250000000000000 (elements = 32641)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 16, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0000004623, MAX_REL_ERROR = 0.0000110593, WORST_INPUT = -568.3870239257812500000000000 (elements = 32686)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 6, ADDR_WIDTH = 6], N = 64, SIMD = 2):   RMSRE = 0.0000004089, MAX_REL_ERROR = 0.0000104216, WORST_INPUT = 41.3661384582519531250000000 (elements = 32544)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 8, ADDR_WIDTH = 6], N = 64, SIMD = 2):   RMSRE = 0.0000009018, MAX_REL_ERROR = 0.0000248579, WORST_INPUT = 0.5262154340744018554687500 (elements = 32688)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 10, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000005340, MAX_REL_ERROR = 0.0000145606, WORST_INPUT = -37.3118247985839843750000000 (elements = 32649)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 12, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000004231, MAX_REL_ERROR = 0.0000143598, WORST_INPUT = 856.8234252929687500000000000 (elements = 32690)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 14, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000005032, MAX_REL_ERROR = 0.0000099767, WORST_INPUT = 222.3228607177734375000000000 (elements = 32635)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 16, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000005117, MAX_REL_ERROR = 0.0000370958, WORST_INPUT = -1861.5886230468750000000000000 (elements = 32599)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 6, ADDR_WIDTH = 7], N = 64, SIMD = 2):   RMSRE = 0.0000007720, MAX_REL_ERROR = 0.0000147878, WORST_INPUT = 1026.0697021484375000000000000 (elements = 32435)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 8, ADDR_WIDTH = 7], N = 64, SIMD = 2):   RMSRE = 0.0000005167, MAX_REL_ERROR = 0.0000194327, WORST_INPUT = -17.9342765808105468750000000 (elements = 32589)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 10, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000004307, MAX_REL_ERROR = 0.0000087717, WORST_INPUT = 21.0459537506103515625000000 (elements = 32651)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 12, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000007289, MAX_REL_ERROR = 0.0000113853, WORST_INPUT = 0.5696060061454772949218750 (elements = 32683)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 14, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000004795, MAX_REL_ERROR = 0.0000243303, WORST_INPUT = 7.7205352783203125000000000 (elements = 32505)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 16, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000009840, MAX_REL_ERROR = 0.0000235634, WORST_INPUT = 0.8445054888725280761718750 (elements = 32702)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 6, ADDR_WIDTH = 8], N = 64, SIMD = 2):   RMSRE = 0.0000004296, MAX_REL_ERROR = 0.0000197576, WORST_INPUT = 146.6926879882812500000000000 (elements = 32542)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 8, ADDR_WIDTH = 8], N = 64, SIMD = 2):   RMSRE = 0.0000004072, MAX_REL_ERROR = 0.0000275161, WORST_INPUT = 761.5288696289062500000000000 (elements = 32654)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 10, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000003167, MAX_REL_ERROR = 0.0000082462, WORST_INPUT = -253.5550994873046875000000000 (elements = 32701)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 12, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000004975, MAX_REL_ERROR = 0.0000159863, WORST_INPUT = 567.0309448242187500000000000 (elements = 32547)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 14, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000005040, MAX_REL_ERROR = 0.0000117195, WORST_INPUT = -2.1227197647094726562500000 (elements = 32406)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 16, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000004278, MAX_REL_ERROR = 0.0000156078, WORST_INPUT = -1826.8409423828125000000000000 (elements = 32742)
