rsqrt_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=5 A1=5 A2=7 WW=20  RMSRE=1.312824e-06  max_rel_error=6.484345e-06  at x=2.3802236e+18  (dut=6.48169074e-10, ref=6.48173277e-10)
  NS=0 A0=5 A1=6 A2=3 WW=18  RMSRE=6.278623e-06  max_rel_error=1.761854e-05  at x=134456.125  (dut=0.00272710621, ref=0.00272715426)
  NS=0 A0=5 A1=6 A2=4 WW=19  RMSRE=3.171765e-06  max_rel_error=9.597193e-06  at x=5.0775308e-32  (dut=4.43790381e+15, ref=4.43786122e+15)
  NS=0 A0=5 A1=6 A2=5 WW=20  RMSRE=1.656091e-06  max_rel_error=6.160594e-06  at x=5.51089537e+11  (dut=1.34707443e-06, ref=1.34706613e-06)
  NS=0 A0=5 A1=6 A2=6 WW=21  RMSRE=9.391955e-07  max_rel_error=4.208824e-06  at x=4.40012479e+12  (dut=4.76726541e-07, ref=4.76724534e-07)
  NS=0 A0=5 A1=6 A2=7 WW=21  RMSRE=6.606847e-07  max_rel_error=3.254925e-06  at x=4.40012479e+12  (dut=4.76726086e-07, ref=4.76724534e-07)
  NS=0 A0=5 A1=7 A2=3 WW=19  RMSRE=3.138763e-06  max_rel_error=8.668571e-06  at x=7.9933625e-34  (dut=3.53697085e+16, ref=3.53700151e+16)
  NS=0 A0=5 A1=7 A2=4 WW=20  RMSRE=1.595660e-06  max_rel_error=4.810260e-06  at x=5.51089537e+11  (dut=1.34707261e-06, ref=1.34706613e-06)
  NS=0 A0=5 A1=7 A2=5 WW=21  RMSRE=8.322972e-07  max_rel_error=2.865248e-06  at x=4.62494129e-22  (dut=4.64992174e+10, ref=4.64993506e+10)
  NS=0 A0=5 A1=7 A2=6 WW=22  RMSRE=4.732431e-07  max_rel_error=1.972795e-06  at x=1.06676145e+37  (dut=3.06172012e-19, ref=3.06172616e-19)
  NS=0 A0=5 A1=7 A2=7 WW=22  RMSRE=3.280781e-07  max_rel_error=1.485887e-06  at x=6.13785076e-08  (dut=4036.37207, ref=4036.37807)
  NS=0 A0=6 A1=3 A2=3 WW=16  RMSRE=2.521945e-05  max_rel_error=6.573023e-05  at x=2129.50317  (dut=0.0216686726, ref=0.0216700969)
  NS=0 A0=6 A1=3 A2=4 WW=17  RMSRE=1.261531e-05  max_rel_error=3.427233e-05  at x=2.00681947e-31  (dut=2.23218899e+15, ref=2.2322655e+15)
  NS=0 A0=6 A1=3 A2=5 WW=18  RMSRE=6.347819e-06  max_rel_error=1.909770e-05  at x=7.13101283e-15  (dut=11842208, ref=11841981.8)
  NS=0 A0=6 A1=3 A2=6 WW=19  RMSRE=3.279415e-06  max_rel_error=1.138677e-05  at x=0.0673771054  (dut=3.85246658, ref=3.85251045)
  NS=0 A0=6 A1=3 A2=7 WW=20  RMSRE=1.868766e-06  max_rel_error=7.596431e-06  at x=4.61929377e-13  (dut=1471326, ref=1471337.18)
  NS=0 A0=6 A1=4 A2=3 WW=17  RMSRE=1.262737e-05  max_rel_error=3.272365e-05  at x=2129.50317  (dut=0.0216693878, ref=0.0216700969)
  NS=0 A0=6 A1=4 A2=4 WW=18  RMSRE=6.286506e-06  max_rel_error=1.695597e-05  at x=2.00681947e-31  (dut=2.23222765e+15, ref=2.2322655e+15)
  NS=0 A0=6 A1=4 A2=5 WW=19  RMSRE=3.163206e-06  max_rel_error=9.259814e-06  at x=2.00681947e-31  (dut=2.23224483e+15, ref=2.2322655e+15)
  NS=0 A0=6 A1=4 A2=6 WW=20  RMSRE=1.654773e-06  max_rel_error=6.245220e-06  at x=5.12289541e-29  (dut=1.39715622e+14, ref=1.39714749e+14)
  NS=0 A0=6 A1=4 A2=7 WW=21  RMSRE=9.402140e-07  max_rel_error=4.083745e-06  at x=5.12289541e-29  (dut=1.3971532e+14, ref=1.39714749e+14)
  NS=0 A0=6 A1=5 A2=3 WW=18  RMSRE=6.276506e-06  max_rel_error=1.666282e-05  at x=1.21690348e-07  (dut=2866.67969, ref=2866.63192)
  NS=0 A0=6 A1=5 A2=4 WW=19  RMSRE=3.145683e-06  max_rel_error=8.539764e-06  at x=2.3802236e+18  (dut=6.48167742e-10, ref=6.48173277e-10)
  NS=0 A0=6 A1=5 A2=5 WW=20  RMSRE=1.600757e-06  max_rel_error=4.924249e-06  at x=4.40012479e+12  (dut=4.76726882e-07, ref=4.76724534e-07)
  NS=0 A0=6 A1=5 A2=6 WW=21  RMSRE=8.329401e-07  max_rel_error=2.882926e-06  at x=5.12289541e-29  (dut=1.39715152e+14, ref=1.39714749e+14)
  NS=0 A0=6 A1=5 A2=7 WW=22  RMSRE=4.723255e-07  max_rel_error=1.943313e-06  at x=4.40012479e+12  (dut=4.76725461e-07, ref=4.76724534e-07)
  NS=0 A0=6 A1=6 A2=3 WW=19  RMSRE=3.128539e-06  max_rel_error=8.297794e-06  at x=2.00681947e-31  (dut=2.23224698e+15, ref=2.2322655e+15)
  NS=0 A0=6 A1=6 A2=4 WW=20  RMSRE=1.581872e-06  max_rel_error=4.323909e-06  at x=5.12289541e-29  (dut=1.39715353e+14, ref=1.39714749e+14)
  NS=0 A0=6 A1=6 A2=5 WW=21  RMSRE=8.002167e-07  max_rel_error=2.341831e-06  at x=9.1289053  (dut=0.330972314, ref=0.330971539)
  NS=0 A0=6 A1=6 A2=6 WW=22  RMSRE=4.186980e-07  max_rel_error=1.489304e-06  at x=5.30701087e+30  (dut=4.34084586e-16, ref=4.34085233e-16)
  NS=0 A0=6 A1=6 A2=7 WW=23  RMSRE=2.383655e-07  max_rel_error=1.001477e-06  at x=5.30701087e+30  (dut=4.34084798e-16, ref=4.34085233e-16)
  NS=0 A0=6 A1=7 A2=3 WW=20  RMSRE=1.580829e-06  max_rel_error=4.235323e-06  at x=7.13101283e-15  (dut=11842032, ref=11841981.8)
  NS=0 A0=6 A1=7 A2=4 WW=21  RMSRE=7.920563e-07  max_rel_error=2.195397e-06  at x=9.98729976e-32  (dut=3.16429461e+15, ref=3.16428766e+15)
  NS=0 A0=6 A1=7 A2=5 WW=22  RMSRE=4.016959e-07  max_rel_error=1.178204e-06  at x=1.91262818e+38  (dut=7.23076443e-20, ref=7.23077295e-20)
  NS=0 A0=6 A1=7 A2=6 WW=23  RMSRE=2.092805e-07  max_rel_error=7.081702e-07  at x=9.01718076e+15  (dut=1.05308713e-08, ref=1.05308787e-08)
